vignette_id,model,modality,response
1,Claude,CBT,"Thank you for bringing that up—it sounds like the sleep difficulties aren't just affecting your nights, but they're starting to impact other areas of your life as well, like your friendships.
You mentioned feeling anxious around your friends at the moment. I'm wondering if there might be a connection here to what we've been discussing. When you're exhausted, running on very little quality sleep, and dealing with all these threatening thoughts and images, it can make social situations feel much more overwhelming than they normally would.
Let me ask you: when you think about seeing your friends, what goes through your mind? Are there specific worries or thoughts that come up—perhaps about how you'll cope if you're tired, or concerns about what they might notice or think about you?
And when you cancelled last weekend, how did you feel afterward? Was there relief, or guilt, or maybe a mix of both?
Sometimes when we're struggling, we start to avoid situations that feel difficult or overwhelming. And while that avoidance gives us temporary relief from anxiety, it can also reinforce the idea that we can't handle those situations—which actually maintains the anxiety in the long run.
I'm curious whether you see any patterns here between avoiding sleep (or staying hypervigilant to avoid nightmares), using earphones to avoid the intrusive thoughts, and now cancelling on friends. Does that connection make sense to you?"
1,Claude,CBT,"That's a really painful thought to carry around—the idea that the people you care about don't actually like you. And I imagine when you're already exhausted and anxious, that thought feels even more convincing and harder to shake off.
Let's explore this a bit. When you have the thought ""my friends don't actually like me,"" how strongly do you believe it? Using that same scale—0% being ""I don't believe it at all"" and 100% being ""I'm absolutely certain""—where would you put it?
And I'm curious: what evidence does your mind give you for this thought? What makes you think they don't like you?
Also, is this a thought you've always had about your friends, or is it something that's become stronger recently—perhaps around the same time the sleep difficulties started getting worse?
Here's what I'm noticing: you've mentioned several thoughts now—""something evil is coming,"" ""I'll be attacked,"" ""my friends don't like me."" These are all threat-based thoughts. Your mind seems to be scanning for danger in different areas of your life. And when we believe these thoughts without questioning them, they shape how we feel and what we do—like cancelling on friends or staying hypervigilant at night.
What we'll want to do is start examining these thoughts more closely. Not to judge them or dismiss them, but to look at them with curiosity and see if they're giving you accurate information about reality."
1,Claude,CBT,"That's a really important observation—that home feels like a safe place, a refuge from the danger you're sensing out there. And it makes complete sense that when you're feeling threatened, you'd want to retreat somewhere that feels protective.
But here's what I want us to look at carefully: what's happening when you stay home more often? In the short term, you get relief—the anxiety drops because you're avoiding the situations that trigger it. Your mind says, ""See, I was right to stay home. I'm safe here."" But what does that teach your brain about the world outside your home?
It actually reinforces the belief that there is something dangerous out there to hide from. Every time you avoid going out—whether it's to work, to see friends, or anywhere else—it strengthens the idea that you need protection, that you can't handle what's outside, that the threat is real.
So now we're seeing a pattern: staying home to feel safe, cancelling on friends, using earphones to avoid the thoughts, staying hypervigilant at night. These are all safety behaviors—things you're doing to protect yourself from perceived danger. And while they provide temporary relief, they're actually maintaining the anxiety and these beliefs about threat.
Let me ask you this: before all of this started—before the sleep problems and these feelings of danger—were you comfortable going to work, seeing friends, being out in the world? What's changed?"
1,Claude,CBT,"So you're preparing, trying to make sure everything goes right—rehearsing what you'll say, maybe anticipating what others might say back. That takes a lot of mental energy, doesn't it?
This is another safety behavior. Your mind is trying to protect you from something—perhaps from saying the wrong thing, being judged, or confirming that belief that people don't like you. But here's the thing: what does all that rehearsing do to your anxiety before the conversation actually happens? Does it go down, or does it actually stay high or even increase?
And when you're lying in bed at night with your mind racing—I'm wondering if some of those racing thoughts include rehearsing conversations, replaying interactions from the day, or worrying about social situations coming up?
I'm starting to see how interconnected all of this is. You're expending enormous amounts of mental energy trying to protect yourself—from danger at night, from social situations during the day, from making mistakes in conversations. Your mind and body are essentially running a constant threat-detection and protection program. No wonder you're exhausted and can't sleep properly.
Let me ask you something: when you do have a conversation without rehearsing it first—or when you rehearse but then the conversation goes differently than planned—what actually happens? Do the feared consequences come true?"
1,Claude,CBT,"Thank you for sharing that—that feels like we've gotten to something really core here. The fear of embarrassing yourself in front of people you know. That's a very specific and powerful fear, and it connects so much of what we've been talking about.
So let me see if I'm understanding this correctly: you're worried that if you're not careful—if you don't rehearse, if you're tired and not at your best, if you say the wrong thing—you'll embarrass yourself in front of people who know you. And if that happens, what does your mind tell you that would mean? What would be so awful about that embarrassment?
I'm also wondering: when you think about your friends not liking you, or feeling anxious around them—is the fear underneath that really about potentially embarrassing yourself in front of them? That if you slip up or they see you struggling, it will be humiliating?
And here's another connection: if you're worried about embarrassing yourself, staying home makes sense—you can't embarrass yourself if you're not there. Rehearsing conversations makes sense—you're trying to prevent mistakes. Even the exhaustion and sleep problems—if you're worried people might notice you're not yourself or ask what's wrong, that could feel embarrassing too.
Can you think of a time, maybe recently or in the past, when you felt you embarrassed yourself? What happened, and how did you feel afterward?"
1,Claude,CBT,"Okay, so you've experienced palpitations—your heart racing or pounding—in large social settings at work. That must have felt quite frightening in the moment, especially if it was unexpected.
Tell me more about that experience. When you felt those palpitations, what went through your mind? Were you worried about what was happening physically, or were you more concerned about whether other people could tell something was wrong with you?
And what did you do when it happened? Did you leave the situation, try to hide it, focus on controlling your breathing?
Here's what I'm thinking might be happening: you're in a social setting, perhaps already feeling some anxiety about embarrassing yourself or being judged. Your body responds to that anxiety with physical symptoms—like palpitations. Then your mind notices those symptoms and might interpret them as even more threatening: ""Oh no, something's wrong with me,"" or ""People will notice,"" or ""This is embarrassing."" That thought creates more anxiety, which creates more physical symptoms, which creates more anxious thoughts. It's a feedback loop.
And then afterward—did you replay that situation in your mind? Did it make you more anxious about attending future work events?
I'm wondering if this fear of having those physical symptoms in front of others—and the embarrassment that might come with it—is part of what's keeping you home more and making social situations feel so threatening."
1,Claude,CBT,"That's such an important insight—there's a real disconnect between how you're feeling on the inside and how you might be coming across on the outside. You're dealing with intense anxiety, but others might be interpreting your behavior—the cancellations, working from home, perhaps seeming withdrawn—as rudeness or disinterest.
And that creates another painful layer, doesn't it? Because if people do think you're rude or standoffish, that might actually push them away, which could then confirm that thought you mentioned earlier: ""my friends don't actually like me."" But it's not because of who you are—it's because the anxiety is getting in the way of you showing up as yourself.
Let me ask you this: have any of your friends actually said they think you're rude, or is this something you're assuming they might think? And have you been able to talk to anyone—friends, family, colleagues—about what you're actually going through with the anxiety and sleep problems?
I'm also noticing something important here: you've shared with me that underneath all of this—the sleep problems, the intrusive images, staying home, avoiding friends—the core fear is about embarrassing yourself in front of people. And yet, the behaviors you're doing to try to prevent that embarrassment might actually be creating distance between you and others, which is its own kind of painful outcome.
What would it be like if people knew what you were really dealing with? Does that thought feel terrifying, relieving, or something else?"
1,Claude,CBT,"That must be really hard to sit with—the realization that in trying to protect yourself from embarrassment and anxiety, you've ended up losing connections that mattered to you. There's often a lot of grief and regret that comes with that.
This is what anxiety does when it goes unchallenged. It promises to keep you safe—""stay home, avoid the situations, don't risk embarrassment""—but the cost is enormous. You're not just missing individual events; you're losing relationships, opportunities, parts of your life that give it meaning and richness.
And here's the cruel irony: the isolation itself probably makes the anxiety worse. When you're alone more, you have more time to ruminate, to rehearse conversations that aren't happening, to lie awake at night with racing thoughts. There's less genuine connection to ground you, less evidence to challenge those thoughts like ""people don't like me.""
I want to ask you something important: when you look at where things are now—the sleep problems, the hypervigilance, staying home, the lost friendships, cancelling on the friends you still have—does this feel like it's working for you? Is the safety you're seeking actually making your life better, or is it costing you too much?
Because here's what I want you to understand: we can work on this. But it's going to require us to do something that feels counterintuitive—we're going to need to gradually face some of the things you've been avoiding, and challenge these threat-based thoughts.
How does that land with you?"
1,Claude,CBT,"So the anxiety has spread even further—it's not just work events or seeing friends, but everyday tasks like grocery shopping. And you've adapted by going at odd hours when there are fewer people around. That's another safety behavior—another way of managing the anxiety in the moment, but also another way of accommodating it and letting it shrink your world.
I want you to notice something: you started by telling me about sleep problems—racing thoughts and feelings that something evil is coming to get you. And as we've talked, we've uncovered this web of anxiety that's affecting nearly every area of your life. The sleep, the social situations, work, friendships, even grocery shopping.
Here's what I think is happening: at the core, you have this deep fear of embarrassment and judgment. Your mind has become hypersensitive to any perceived threat to your social safety. And because your mind interprets so many situations as threatening, your body stays in a constant state of high alert—the hypervigilance, the palpitations, the inability to sleep deeply. You're essentially living as if you're under siege.
And all these safety behaviors—going to the shop at quiet times, staying home, rehearsing conversations, using earphones at night, avoiding friends—they're all trying to manage that threat. But each time you avoid or use a safety behavior, you reinforce the message to your brain: ""Yes, there really is something to be afraid of. I can't handle this without protection.""
So the anxiety keeps growing, spreading to more areas of your life.
Does this picture resonate with what you're experiencing?"
1,Claude,CBT,"I completely understand that—when you're already exhausted and anxious, the thought of being around people feels like it requires energy you simply don't have. And after you do push yourself to be social, you probably feel even more drained, which reinforces the idea that it's better to just stay home.
But here's what I want us to look at carefully: why is being around people so draining? Is it because social interaction is inherently exhausting for you, or is it because you're spending the entire time in that heightened state of anxiety—monitoring yourself, worrying about embarrassment, scanning for signs that people are judging you, rehearsing what to say next? That level of vigilance and self-monitoring is absolutely exhausting.
Think about it this way: you're not really present in those social situations. You're stuck in your head, running that constant threat-detection program. So you're expending enormous energy but not getting the benefits of genuine connection—the enjoyment, the feeling of belonging, the natural energy that can come from being with people you care about.
And then there's the isolation itself. When you're alone, yes, the immediate anxiety of social situations goes away. But what fills that space? More rumination, more time with those intrusive thoughts, more exhaustion, more anxiety building up for the next time you have to face people.
Here's the difficult truth: the only way out of this is through it. We need to help you learn that you can tolerate the anxiety, that the catastrophic outcomes you fear don't actually happen, and that you're stronger than your mind is telling you.
Are you willing to work on this with me?"
1,Claude,CBT,"That's such a clear example of how much the anxiety is costing you—not just emotionally, but in time, energy, and your ability to function effectively. Four hours of checking, worrying, second-guessing whether it's good enough. That's exhausting.
What were you worried would happen if you sent it out without all that checking? What was going through your mind during those four hours? Were you imagining specific reactions from colleagues, worrying about mistakes, thinking about how you'd be judged?
And let me ask you this: when you finally did send it—after all that checking and stressing—what actually happened? Did you get the negative response you feared? Did people find it inadequate or judge you harshly?
Here's what I suspect: the report was probably fine after the first check, maybe even before any checking at all. But your mind was telling you ""it's not good enough,"" ""people will think badly of you,"" ""you'll embarrass yourself."" So you kept checking, trying to make absolutely certain you wouldn't face that feared embarrassment.
But think about what that pattern does: it takes twice as long to complete work, which adds more stress. It reinforces the belief that you need to check excessively or something bad will happen. And it probably makes work feel even more overwhelming and anxiety-provoking, which feeds back into everything else we've discussed.
This perfectionism—this need to make sure everything is absolutely right to avoid judgment or embarrassment—is it showing up in other areas too?"
1,Claude,CBT,"That's a really significant realization, and it helps explain so much of what we've been talking about. If your sense of worth as a person is tied up in your work performance and your salary, then every report, every email, every interaction at work becomes high-stakes. It's not just about doing a task—it's about proving your value as a human being.
No wonder you're spending four hours checking a report. No wonder work social situations trigger palpitations. No wonder the thought of embarrassing yourself feels catastrophic. If your work performance defines your worth, then any mistake or perceived failure isn't just an error—it's evidence that you are not good enough.
Let me ask you this: where do you think that belief came from? That your worth is tied to your work and salary? Has it always been there, or did something happen that made you start thinking this way?
And here's another important question: outside of work—your relationships, your character, the things you care about, how you treat people—do those things factor into how you see your worth? Or has work really become the primary measuring stick?
Because here's what I want you to consider: if your worth is entirely dependent on external achievement and performance, then you'll never feel secure. There will always be another report to perfect, another potential mistake to avoid, another way you might fall short. That's an exhausting and anxiety-provoking way to live.
What would it mean for you if your worth was something more stable—something not dependent on performance?"
1,Claude,CBT,"That's a painful comparison you're making—looking around and seeing everyone else seemingly breezing through while you're struggling. But I want us to examine that thought carefully, because it's probably not giving you accurate information.
First, let me ask you: how do you actually know that everyone else finds things easy? Can you see inside their heads? Do you know how much time they spend checking their work, or how anxious they feel, or what they're struggling with privately?
What you're doing is called ""mind reading""—assuming you know what others are experiencing. And you're also probably engaging in what we call ""comparing your insides to other people's outsides."" You're intimately aware of your own struggle—every anxious thought, every hour spent checking, every moment of self-doubt. But you only see other people's finished products and outward behavior. You don't see their internal experience.
Here's another thought pattern I'm noticing: you're taking your struggle as evidence that something is wrong with you specifically. ""Why do I have to struggle?"" But what if the struggle isn't because you're deficient or inadequate? What if you're struggling because you're carrying this enormous burden of anxiety, perfectionism, sleep deprivation, and the belief that your worth depends on flawless performance?
If someone else was sleep-deprived, hypervigilant, spending four hours checking a two-hour report, and believing their entire worth depended on not making mistakes—would you expect them to find work easy?
What do you think would happen to your work performance if we could reduce the anxiety?"
1,Claude,CBT,"Thank you for being honest about that—jealousy is a very human emotion, and the fact that you can recognize it and how it's affecting your perception of her shows real self-awareness.
But let's unpack what's happening here. You said you've ""vilified"" her—you've made her into something negative in your mind. What does that do for you? Does it make the jealousy easier to bear? Does it protect you from having to sit with painful feelings about yourself?
Because here's what I'm hearing underneath the jealousy: if your worth is tied to your work performance and salary, and she got promoted before you despite being there less time, what does your mind tell you that means about you? What story does it create?
I suspect the jealousy isn't really about her at all—it's about what her promotion represents to you. It's evidence, in your mind, that you're not good enough, that you're falling short, that despite all your effort and struggle, you're still not measuring up.
And vilifying her—making her the problem rather than looking at the painful beliefs about yourself—is a way of deflecting from those difficult feelings.
But here's what's important: her success doesn't actually say anything about your worth or abilities. Promotions happen for all sorts of reasons—timing, politics, specific skills, opportunities. It's not a direct measurement of human value.
How much of your struggle at work—the excessive checking, the anxiety, the isolation—do you think might actually be holding you back professionally?"
1,Claude,CBT,"There it is—that's a core belief that's been driving so much of what we've discussed. ""If I can't do something perfectly, I'd rather not do it at all.""
Let's really look at what that belief is doing to your life.
You can't sleep perfectly, so you stay hypervigilant trying to control the threats. You can't guarantee a social interaction will go perfectly without embarrassment, so you cancel on friends or avoid situations altogether. You can't be certain the report is perfect, so you spend four hours checking it. You can't be sure you'll perform perfectly at work events, so you work from home more. You can't shop without the risk of anxiety symptoms, so you go at odd hours.
This belief is essentially saying: ""Unless I can guarantee success and avoid all possibility of failure or embarrassment, it's safer not to try."" But what's the actual result? You've lost friendships, you're isolated, you're exhausted, you're not sleeping, your career may be suffering, and your world keeps getting smaller.
Here's the paradox: this belief that's supposed to protect you from failure and embarrassment is actually guaranteeing that you can't succeed or connect, because you're not even trying.
Let me ask you: where did you learn that perfection was the standard? That anything less than perfect wasn't acceptable? And what evidence do you actually have that imperfect efforts are worthless?
Because I can tell you: everyone—literally everyone—does things imperfectly all the time. And life goes on. Relationships form. Work gets done. People survive embarrassment.
What would it be like to aim for ""good enough"" instead of perfect?"
1,Claude,CBT,"So even when you do complete something—despite all the struggle, the checking, the anxiety—you don't allow yourself any sense of accomplishment. Instead, your mind immediately goes to what wasn't perfect, what could have been better.
That's exhausting, isn't it? You're putting in enormous effort, but you never get to experience any satisfaction or pride. There's no reward, no positive reinforcement—just more criticism and more pressure to do better next time.
This is a pattern we call ""discounting the positive"" or ""mental filtering."" Your mind filters out anything you did well and zooms in exclusively on the flaws or what's missing. And when you do that repeatedly, what message are you sending yourself? ""Nothing I do is ever good enough. I am not good enough.""
Let me ask you something: if a friend came to you and said they'd completed a difficult project, would you immediately point out everything they could have done better? Or would you acknowledge their effort and what they accomplished?
I suspect you'd be much kinder to them than you are to yourself.
Here's what's happening: this harsh self-criticism is actually maintaining your anxiety and perfectionism. Because if nothing you do is ever good enough, then of course every task feels high-stakes and threatening. Of course you need to check obsessively. Of course you can't risk embarrassment. You're already telling yourself you're inadequate—you can't bear for others to confirm it.
What would happen if you deliberately acknowledged something you did well today, even something small? What comes up when you imagine doing that?"
1,Claude,CBT,"That's really important—this isn't just about work or sleep or social anxiety. This goes much deeper. It sounds like from an early age, you learned that your value was conditional on meeting very high standards, and that falling short meant disappointment.
When you were growing up, what happened when you didn't meet those expectations? How did your parents respond? And perhaps just as importantly—when you did achieve something, was it celebrated, or was the bar simply raised higher?
Because what often happens in families with very high expectations is that children internalize the message: ""I'm only acceptable when I'm performing well. Love and approval are contingent on achievement."" And that becomes the blueprint for how you see yourself and navigate the world as an adult.
So now, as an adult, you've essentially become your own harsh parent—constantly raising the bar, never satisfied, always focused on what's not good enough. And the fear of embarrassment, of being judged by others? That might really be about the fear of disappointing people the way you believe you disappointed your parents.
Do you still feel that pressure from them now? Are they actually expressing disappointment, or have you internalized their voice so thoroughly that you're doing it to yourself even without their input?
And here's a crucial question: whose standards are you actually trying to meet? Are these genuinely your values and goals, or are you still trying to earn approval and prove your worth according to someone else's measuring stick?"
1,Claude,CBT,"So you're caught in this impossible bind: when you're doing the work, it feels hugely important—high stakes, must be perfect, your worth depends on it. But when you step back and look at the bigger picture, you dismiss the work as meaningless and yourself as ""useless to society.""
Do you see what's happening here? You can't win. If the work matters enormously, the pressure is crushing and every mistake feels catastrophic. But if the work doesn't matter, then what are you spending all this time, energy, and anxiety on? What does that say about you?
This is what we call ""all-or-nothing thinking""—things are either critically important or completely worthless, with no middle ground. And it keeps you trapped.
Let me ask you this: why does your value to society have to be determined by your job title? Are teachers valuable? Care workers? Artists? Parents? People who volunteer? Friends who show up for each other? What makes someone's life meaningful and valuable?
And here's another angle: you're in a corporate admin job, but what if someone in that role helped you when you needed it—organized something important for you, solved a problem, made your life easier? Would you think they were useless?
I suspect you're applying a completely different, much harsher standard to yourself than you'd apply to anyone else.
The truth is, your worth as a person isn't determined by your job at all—whether it's ""important"" or not. Your worth is inherent. But as long as you're measuring yourself by these impossible, shifting standards, you'll always feel inadequate.
What would it look like to simply be a person doing a job, rather than your job defining your entire value?"
1,Claude,CBT,"I feel like my friends have much more enjoyable and better paying jobs and it makes me feel so jealous, but I obviously can’t prove that"
1,Claude,CBT,"So even when you do receive validation—success, praise, recognition—it doesn't land. It doesn't satisfy or reassure you. Your mind just moves the goalposts: ""That wasn't enough. I need more. I need to do better.""
This is the trap of conditional self-worth. When your value depends on external achievement, there's literally no amount of success that will ever feel like enough, because the fundamental belief underneath is: ""I am not enough."" No promotion, no praise, no salary will fix that core belief—you'll just keep needing more to try to fill that void.
And think about what this does to you: you're working yourself to exhaustion, sacrificing sleep, isolating yourself, checking reports for hours, living in constant anxiety—all in pursuit of something that can never actually deliver what you're seeking. Because what you're really seeking is a sense of inherent worth and okayness, and you're trying to earn it through performance. But it doesn't work that way.
Here's what I want you to sit with: if you achieved everything you think you want at work—the promotion, the recognition, the perfect performance—but you still had this same core belief that you're not enough, would you actually feel any different? Or would your mind just find the next thing you're falling short on?
We need to work on separating your sense of worth from your performance. And that's going to involve challenging some of these deeply held beliefs about yourself.
But we're almost out of time for today. Before we finish, I want to check in: how are you feeling after everything we've discussed?"
1,Claude,CBT,"That's significant—even in your closest relationship, where you say your partner is supportive and helpful, there's this underlying fear that they might be betraying you.
Do you see the pattern here? ""Something evil is coming to get me"" at night. ""My friends don't actually like me."" ""I'll embarrass myself."" ""People think I'm rude."" ""I'm disappointing my parents."" ""I'm useless to society."" And now, ""My partner might be cheating.""
Your mind has become a threat-detection machine that's working overtime. It's scanning every area of your life—sleep, work, friendships, your relationship—looking for danger, betrayal, inadequacy, rejection.
Let me ask you: what evidence do you actually have that your partner is cheating? Have they done something specific, or is this just a feeling, a worry that sits in the back of your mind?
And here's another important question: if you believe deep down that you're not good enough—not good enough at work, not valuable to society, constantly disappointing people—does it make sense that you'd also believe you're not good enough for your partner? That they must be looking elsewhere because you're inadequate?
This fear about your partner might not really be about them or their behavior at all. It might be another expression of that core belief: ""I'm not enough, so eventually everyone will leave or betray me.""
We're running short on time, but this is clearly another thread we need to explore. For now, I want you to just notice: is there anywhere in your life where your mind allows you to feel safe and secure?"
1,Claude,CBT,"So even after three years with someone who's supportive and helps you, you still have this fundamental uncertainty about whether the relationship is right. That must create a lot of internal turmoil—and possibly strain in the relationship too if your partner senses your ambivalence.

Here's what I'm wondering: is this genuine uncertainty about the relationship itself—like there are real incompatibilities or issues—or is this another manifestation of ""if I can't be certain it's perfect, I'd rather not commit""?

Because look at the pattern: you can't be certain you won't embarrass yourself, so you avoid social situations. You can't be certain the report is perfect, so you check for four hours. You can't be certain you're safe at night, so you stay hypervigilant. And now—you can't be certain this relationship is ""the one,"" so you remain uncertain and hold back.

What would ""knowing for certain"" even look like? What evidence would convince you? Or is it possible that no amount of time or positive experience will give you that certainty because certainty doesn't actually exist in relationships—or in most of life?

Let me also ask: what happens if you do commit fully and it doesn't work out? What does your mind say that would mean about you?

I suspect underneath this uncertainty might be more of that same core fear—of making a mistake, of being wrong, of things not being perfect, and ultimately of getting hurt or facing some kind of failure.

But I want to be mindful of our time today. We've covered an enormous amount of ground, and I can see how interconnected all of these struggles are.
"
